Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,tenure_display,Postal District,Market Segment,Floor Level,postal_sector,price_psf,comparison_key
SELETAR SPRINGS CONDOMINIUM,"1,290,000","1,334.74",966,Jul-24,GERALD DRIVE,Resale,Strata,124.0,"10,403",-,Condominium,1,99 yrs lease commencing from 1997,28,Outside Central Region,01 to 05,28,966,Private-Condominium-99 yrs lease commencing from 1997
GRAND DUNMAN,"3,609,000","1,431.61","2,521",Jul-24,DUNMAN ROAD,New Sale,Strata,133.0,"27,135",-,Apartment,1,99 yrs lease commencing from 2022,15,Rest of Central Region,06 to 10,15,2521,Private-Apartment-99 yrs lease commencing from 2022
THE LANDMARK,"2,058,000",764.24,"2,693",Jul-24,CHIN SWEE ROAD,New Sale,Strata,71.0,"28,986",-,Condominium,1,99 yrs lease commencing from 2020,3,Rest of Central Region,36 to 40,3,2693,Private-Condominium-99 yrs lease commencing from 2020
FIFTH AVENUE CONDOMINIUM,"2,900,000","1,388.56","2,089",Jul-24,FIFTH AVENUE,Resale,Strata,129.0,"22,481",-,Condominium,1,Freehold,10,Core Central Region,01 to 05,10,2089,Private-Condominium-Freehold
PENROSE,"1,236,888",645.84,"1,915",Jul-24,SIMS DRIVE,Sub Sale,Strata,60.0,"20,615",-,Apartment,1,99 yrs lease commencing from 2019,14,Rest of Central Region,11 to 15,14,1915,Private-Apartment-99 yrs lease commencing from 2019
TREASURE AT TAMPINES,"780,000",462.85,"1,685",Jul-24,TAMPINES LANE,Resale,Strata,43.0,"18,140",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,01 to 05,18,1685,Private-Condominium-99 yrs lease commencing from 2018
ALEX RESIDENCES,"1,980,000",925.7,"2,139",Jul-24,ALEXANDRA VIEW,Resale,Strata,86.0,"23,023",-,Apartment,1,99 yrs lease commencing from 2013,3,Rest of Central Region,11 to 15,3,2139,Private-Apartment-99 yrs lease commencing from 2013
HIGH PARK RESIDENCES,"730,000",452.09,"1,615",Jul-24,FERNVALE ROAD,Resale,Strata,42.0,"17,381",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,06 to 10,28,1615,Private-Apartment-99 yrs lease commencing from 2014
LAGOON VIEW,"1,950,000","1,646.89","1,184",Jul-24,MARINE PARADE ROAD,Resale,Strata,153.0,"12,745",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,16 to 20,15,1184,Private-Apartment-99 yrs lease commencing from 1977
THE TAPESTRY,"780,000",441.32,"1,767",Jul-24,TAMPINES STREET 86,Resale,Strata,41.0,"19,024",-,Condominium,1,99 yrs lease commencing from 2017,18,Outside Central Region,11 to 15,18,1767,Private-Condominium-99 yrs lease commencing from 2017
LENTOR MANSION,"3,448,000","1,506.96","2,288",Jul-24,LENTOR GARDENS,New Sale,Strata,140.0,"24,629",-,Apartment,1,99 yrs lease commencing from 2023,26,Outside Central Region,11 to 15,26,2288,Private-Apartment-99 yrs lease commencing from 2023
THE TRE VER,"1,280,000",645.84,"1,982",Jul-24,POTONG PASIR AVENUE 1,Resale,Strata,60.0,"21,333",-,Condominium,1,99 yrs lease commencing from 2018,13,Rest of Central Region,11 to 15,13,1982,Private-Condominium-99 yrs lease commencing from 2018
BISHAN POINT,"1,738,000","1,184.04","1,468",Jul-24,BRIGHT HILL DRIVE,Resale,Strata,110.0,"15,800",-,Condominium,1,99 yrs lease commencing from 1997,20,Rest of Central Region,06 to 10,20,1468,Private-Condominium-99 yrs lease commencing from 1997
GOLDENHILL PARK CONDOMINIUM,"2,880,000","1,334.74","2,158",Jul-24,MEI HWAN DRIVE,Resale,Strata,124.0,"23,226",-,Condominium,1,Freehold,20,Outside Central Region,11 to 15,20,2158,Private-Condominium-Freehold
ECHELON,"2,320,000","1,130.22","2,053",Jul-24,ALEXANDRA VIEW,Resale,Strata,105.0,"22,095",-,Condominium,1,99 yrs lease commencing from 2012,3,Rest of Central Region,31 to 35,3,2053,Private-Condominium-99 yrs lease commencing from 2012
TRELLIS TOWERS,"2,095,000","1,140.98","1,836",Jul-24,LORONG 1 TOA PAYOH,Resale,Strata,106.0,"19,764",-,Condominium,1,Freehold,12,Rest of Central Region,16 to 20,12,1836,Private-Condominium-Freehold
SIMS URBAN OASIS,"3,050,000","2,034.4","1,499",Jul-24,SIMS DRIVE,Resale,Strata,189.0,"16,138",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,16 to 20,14,1499,Private-Condominium-99 yrs lease commencing from 2014
THE LAKEGARDEN RESIDENCES,"2,804,700","1,334.74","2,101",Jul-24,YUAN CHING ROAD,New Sale,Strata,124.0,"22,619",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,01 to 05,22,2101,Private-Apartment-99 yrs lease commencing from 2023
THE LAKEGARDEN RESIDENCES,"2,413,200","1,097.93","2,198",Jul-24,YUAN CHING ROAD,New Sale,Strata,102.0,"23,659",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,16 to 20,22,2198,Private-Apartment-99 yrs lease commencing from 2023
PARC ESTA,"2,800,000","1,227.1","2,282",Jul-24,SIMS AVENUE,Resale,Strata,114.0,"24,561",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,01 to 05,14,2282,Private-Apartment-99 yrs lease commencing from 2018
PRINCIPAL GARDEN,"1,838,000",807.3,"2,277",Jul-24,PRINCE CHARLES CRESCENT,Resale,Strata,75.0,"24,507",-,Condominium,1,99 yrs lease commencing from 2014,3,Rest of Central Region,11 to 15,3,2277,Private-Condominium-99 yrs lease commencing from 2014
THE PANORAMA,"2,280,000","1,140.98","1,998",Jul-24,ANG MO KIO AVENUE 2,Resale,Strata,106.0,"21,509",-,Condominium,1,99 yrs lease commencing from 2013,20,Outside Central Region,06 to 10,20,1998,Private-Condominium-99 yrs lease commencing from 2013
THE EDGE ON CAIRNHILL,"4,920,000","2,131.27","2,308",Jul-24,CAIRNHILL ROAD,Resale,Strata,198.0,"24,848",-,Condominium,1,Freehold,9,Core Central Region,01 to 05,9,2308,Private-Condominium-Freehold
SCENIC HEIGHTS,"1,500,000",914.94,"1,639",Jul-24,BALESTIER ROAD,Resale,Strata,85.0,"17,647",-,Apartment,1,Freehold,12,Rest of Central Region,11 to 15,12,1639,Private-Apartment-Freehold
SEA ESTA,"1,340,000",979.52,"1,368",Jul-24,PASIR RIS LINK,Resale,Strata,91.0,"14,725",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,06 to 10,18,1368,Private-Condominium-99 yrs lease commencing from 2012
PARC ROSEWOOD,"660,000",516.67,"1,277",Jul-24,ROSEWOOD DRIVE,Resale,Strata,48.0,"13,750",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05,25,1277,Private-Condominium-99 yrs lease commencing from 2011
REGENTVILLE,"1,360,000","1,151.75","1,181",Jul-24,HOUGANG STREET 92,Resale,Strata,107.0,"12,710",-,Apartment,1,99 yrs lease commencing from 1996,19,Outside Central Region,06 to 10,19,1181,Private-Apartment-99 yrs lease commencing from 1996
RIVERSAILS,"1,530,000","1,108.69","1,380",Jul-24,UPPER SERANGOON CRESCENT,Resale,Strata,103.0,"14,854",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10,19,1380,Private-Condominium-99 yrs lease commencing from 2011
COSY LODGE,"1,480,000","1,291.68","1,146",Jul-24,LORONG 31 GEYLANG,Resale,Strata,120.0,"12,333",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05,14,1146,Private-Apartment-Freehold
THE LENOX,"720,000",409.03,"1,760",Jul-24,CHANGI ROAD,Resale,Strata,38.0,"18,947",-,Apartment,1,Freehold,14,Outside Central Region,01 to 05,14,1760,Private-Apartment-Freehold
THE CENTRIS,"1,300,000",871.88,"1,491",Jul-24,JURONG WEST CENTRAL 3,Resale,Strata,81.0,"16,049",-,Apartment,1,99 yrs lease commencing from 2006,22,Outside Central Region,06 to 10,22,1491,Private-Apartment-99 yrs lease commencing from 2006
ONE SHENTON,"1,168,000",581.26,"2,009",Jul-24,SHENTON WAY,Resale,Strata,54.0,"21,630",-,Apartment,1,99 yrs lease commencing from 2005,1,Core Central Region,41 to 45,1,2009,Private-Apartment-99 yrs lease commencing from 2005
D'LEEDON,"1,970,000","1,011.82","1,947",Jul-24,LEEDON HEIGHTS,Resale,Strata,94.0,"20,957",-,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,16 to 20,10,1947,Private-Condominium-99 yrs lease commencing from 2010
CHILTERN PARK,"1,880,000","1,248.62","1,506",Jul-24,SERANGOON AVENUE 3,Resale,Strata,116.0,"16,207",-,Condominium,1,99 yrs lease commencing from 1991,19,Outside Central Region,01 to 05,19,1506,Private-Condominium-99 yrs lease commencing from 1991
THE FLORENCE RESIDENCES,"1,900,000","1,011.82","1,878",Jul-24,HOUGANG AVENUE 2,Sub Sale,Strata,94.0,"20,213",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10,19,1878,Private-Apartment-99 yrs lease commencing from 2018
CITYLIGHTS,"1,280,000",678.13,"1,888",Jul-24,JELLICOE ROAD,Resale,Strata,63.0,"20,317",-,Condominium,1,99 yrs lease commencing from 2004,8,Rest of Central Region,16 to 20,8,1888,Private-Condominium-99 yrs lease commencing from 2004
THE ESSENCE,"838,000",538.2,"1,557",Jul-24,CHONG KUO ROAD,Sub Sale,Strata,50.0,"16,760",-,Apartment,1,99 yrs lease commencing from 2018,26,Outside Central Region,01 to 05,26,1557,Private-Apartment-99 yrs lease commencing from 2018
ICON,"2,200,000","1,119.46","1,965",Jul-24,GOPENG STREET,Resale,Strata,104.0,"21,154",-,Apartment,1,99 yrs lease commencing from 2002,2,Core Central Region,46 to 50,2,1965,Private-Apartment-99 yrs lease commencing from 2002
THE WARREN,"1,250,000","1,227.1","1,019",Jul-24,CHOA CHU KANG LOOP,Resale,Strata,114.0,"10,965",-,Condominium,1,99 yrs lease commencing from 2001,23,Outside Central Region,01 to 05,23,1019,Private-Condominium-99 yrs lease commencing from 2001
EAST PALM,"1,880,000","1,184.04","1,588",Jul-24,PALM ROAD,Resale,Strata,110.0,"17,091",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05,15,1588,Private-Apartment-Freehold
ONE LEICESTER,"2,000,000","1,248.62","1,602",Jul-24,LEICESTER ROAD,Resale,Strata,116.0,"17,241",-,Condominium,1,Freehold,13,Rest of Central Region,01 to 05,13,1602,Private-Condominium-Freehold
WHISTLER GRAND,"2,550,000","1,280.92","1,991",Jul-24,WEST COAST VALE,Resale,Strata,119.0,"21,429",-,Apartment,1,99 yrs lease commencing from 2018,5,Outside Central Region,31 to 35,5,1991,Private-Apartment-99 yrs lease commencing from 2018
HORIZON RESIDENCES,"2,260,000","1,323.97","1,707",Jul-24,PASIR PANJANG HILL,Resale,Strata,123.0,"18,374",-,Condominium,1,Freehold,5,Rest of Central Region,01 to 05,5,1707,Private-Condominium-Freehold
PARK COLONIAL,"2,360,000","1,011.82","2,332",Jul-24,WOODLEIGH LANE,Resale,Strata,94.0,"25,106",-,Condominium,1,99 yrs lease commencing from 2017,13,Rest of Central Region,01 to 05,13,2332,Private-Condominium-99 yrs lease commencing from 2017
RIPPLE BAY,"1,012,888",775.01,"1,307",Jul-24,PASIR RIS LINK,Resale,Strata,72.0,"14,068",-,Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,06 to 10,18,1307,Private-Condominium-99 yrs lease commencing from 2011
THE MINTON,"750,000",548.96,"1,366",Jul-24,HOUGANG STREET 11,Resale,Strata,51.0,"14,706",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,06 to 10,19,1366,Private-Condominium-99 yrs lease commencing from 2007
RIVERTREES RESIDENCES,"755,000",505.91,"1,492",Jul-24,FERNVALE CLOSE,Resale,Strata,47.0,"16,064",-,Apartment,1,99 yrs lease commencing from 2013,28,Outside Central Region,11 to 15,28,1492,Private-Apartment-99 yrs lease commencing from 2013
THE TANAMERA,"1,180,000",947.23,"1,246",Jul-24,TANAH MERAH KECHIL ROAD,Resale,Strata,88.0,"13,409",-,Condominium,1,99 yrs lease commencing from 1990,16,Outside Central Region,01 to 05,16,1246,Private-Condominium-99 yrs lease commencing from 1990
THE RISE @ OXLEY - RESIDENCES,"1,480,000",645.84,"2,292",Jul-24,OXLEY RISE,Resale,Strata,60.0,"24,667",-,Apartment,1,Freehold,9,Core Central Region,01 to 05,9,2292,Private-Apartment-Freehold
PARC BOTANNIA,"2,508,888","1,453.14","1,727",Jul-24,FERNVALE STREET,Resale,Strata,135.0,"18,584",-,Condominium,1,99 yrs lease commencing from 2016,28,Outside Central Region,21 to 25,28,1727,Private-Condominium-99 yrs lease commencing from 2016
JADESCAPE,"1,680,000",764.24,"2,198",Jul-24,SHUNFU ROAD,Resale,Strata,71.0,"23,662",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,06 to 10,20,2198,Private-Condominium-99 yrs lease commencing from 2018
THE GREENWICH,"1,120,000",882.65,"1,269",Jul-24,SELETAR ROAD,Resale,Strata,82.0,"13,659",-,Condominium,1,99 yrs lease commencing from 2009,28,Outside Central Region,01 to 05,28,1269,Private-Condominium-99 yrs lease commencing from 2009
THE ESSENCE,"815,000",538.2,"1,514",Jul-24,CHONG KUO ROAD,Sub Sale,Strata,50.0,"16,300",-,Apartment,1,99 yrs lease commencing from 2018,26,Outside Central Region,01 to 05,26,1514,Private-Apartment-99 yrs lease commencing from 2018
THOMSON GRAND,"2,416,000","1,356.26","1,781",Jul-24,SIN MING WALK,Resale,Strata,126.0,"19,175",-,Condominium,1,99 yrs lease commencing from 2010,20,Rest of Central Region,06 to 10,20,1781,Private-Condominium-99 yrs lease commencing from 2010
THE LANDMARK,"1,730,000",753.48,"2,296",Jul-24,CHIN SWEE ROAD,Sub Sale,Strata,70.0,"24,714",-,Condominium,1,99 yrs lease commencing from 2020,3,Rest of Central Region,06 to 10,3,2296,Private-Condominium-99 yrs lease commencing from 2020
CANAAN,"1,619,754",947.23,"1,710",Jul-24,MATTAR ROAD,Resale,Strata,88.0,"18,406",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05,14,1710,Private-Apartment-Freehold
CANAAN,"1,638,698",947.23,"1,730",Jul-24,MATTAR ROAD,Resale,Strata,88.0,"18,622",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05,14,1730,Private-Apartment-Freehold
REFLECTIONS AT KEPPEL BAY,"1,790,000","1,065.64","1,680",Jul-24,KEPPEL BAY VIEW,Resale,Strata,99.0,"18,081",-,Condominium,1,99 yrs lease commencing from 2006,4,Rest of Central Region,01 to 05,4,1680,Private-Condominium-99 yrs lease commencing from 2006
V ON SHENTON,"2,780,000","1,528.49","1,819",Jul-24,SHENTON WAY,Resale,Strata,142.0,"19,577",-,Apartment,1,99 yrs lease commencing from 2011,1,Core Central Region,11 to 15,1,1819,Private-Apartment-99 yrs lease commencing from 2011
THE CHUAN,"3,100,000","1,463.9","2,118",Jul-24,LORONG CHUAN,Resale,Strata,136.0,"22,794",-,Condominium,1,999 yrs lease commencing from 1877,19,Outside Central Region,01 to 05,19,2118,Private-Condominium-999 yrs lease commencing from 1877
CANAAN,"1,860,004","1,162.51","1,600",Jul-24,MATTAR ROAD,Resale,Strata,108.0,"17,222",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05,14,1600,Private-Apartment-Freehold
THE SKYWOODS,"1,880,000","1,194.8","1,573",Jul-24,DAIRY FARM HEIGHTS,Resale,Strata,111.0,"16,937",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,11 to 15,23,1573,Private-Condominium-99 yrs lease commencing from 2012
TERRA HILL,"2,472,000",904.18,"2,734",Jul-24,YEW SIANG ROAD,New Sale,Strata,84.0,"29,429",-,Apartment,1,Freehold,5,Rest of Central Region,01 to 05,5,2734,Private-Apartment-Freehold
THE ARCADIA,"5,200,000","3,821.22","1,361",Jul-24,ARCADIA ROAD,Resale,Strata,355.0,"14,648",-,Condominium,1,99 yrs lease commencing from 1979,11,Core Central Region,01 to 05,11,1361,Private-Condominium-99 yrs lease commencing from 1979
LENTORIA,"1,622,000",731.95,"2,216",Jul-24,LENTOR HILLS ROAD,New Sale,Strata,68.0,"23,853",-,Condominium,1,99 yrs lease commencing from 2022,26,Outside Central Region,06 to 10,26,2216,Private-Condominium-99 yrs lease commencing from 2022
THE LEVELZ,"1,530,000",807.3,"1,895",Jul-24,FARRER ROAD,Resale,Strata,75.0,"20,400",-,Condominium,1,Freehold,10,Core Central Region,11 to 15,10,1895,Private-Condominium-Freehold
DUNMAN PLACE,"2,750,000","1,442.38","1,907",Jul-24,DUNMAN ROAD,Resale,Strata,134.0,"20,522",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,15,1907,Private-Apartment-Freehold
LENTOR MANSION,"3,427,000","1,485.43","2,307",Jul-24,LENTOR GARDENS,New Sale,Strata,138.0,"24,833",-,Apartment,1,99 yrs lease commencing from 2023,26,Outside Central Region,11 to 15,26,2307,Private-Apartment-99 yrs lease commencing from 2023
LENTOR MANSION,"2,679,000","1,227.1","2,183",Jul-24,LENTOR GARDENS,New Sale,Strata,114.0,"23,500",-,Apartment,1,99 yrs lease commencing from 2023,26,Outside Central Region,06 to 10,26,2183,Private-Apartment-99 yrs lease commencing from 2023
HILLHAVEN,"1,847,570",947.23,"1,950",Jul-24,HILLVIEW RISE,New Sale,Strata,88.0,"20,995",-,Condominium,1,99 yrs lease commencing from 2023,23,Outside Central Region,01 to 05,23,1950,Private-Condominium-99 yrs lease commencing from 2023
SORA,"1,525,000",667.37,"2,285",Jul-24,YUAN CHING ROAD,New Sale,Strata,62.0,"24,597",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,11 to 15,22,2285,Private-Apartment-99 yrs lease commencing from 2023
EIGHT RIVERSUITES,"1,350,000",807.3,"1,672",Jul-24,WHAMPOA EAST,Resale,Strata,75.0,"18,000",-,Condominium,1,99 yrs lease commencing from 2011,12,Rest of Central Region,01 to 05,12,1672,Private-Condominium-99 yrs lease commencing from 2011
BALMORAL 8,"4,200,000","1,840.64","2,282",Jul-24,BALMORAL ROAD,Resale,Strata,171.0,"24,561",-,Condominium,1,Freehold,10,Core Central Region,06 to 10,10,2282,Private-Condominium-Freehold
CUSCADEN RESERVE,"7,201,000","2,098.98","3,431",Jul-24,CUSCADEN ROAD,Resale,Strata,195.0,"36,928",-,Condominium,1,99 yrs lease commencing from 2018,10,Core Central Region,26 to 30,10,3431,Private-Condominium-99 yrs lease commencing from 2018
THE MYST,"1,241,000",516.67,"2,402",Jul-24,UPPER BUKIT TIMAH ROAD,New Sale,Strata,48.0,"25,854",-,Condominium,1,99 yrs lease commencing from 2023,23,Outside Central Region,21 to 25,23,2402,Private-Condominium-99 yrs lease commencing from 2023
ST FRANCIS COURT,"975,000",818.06,"1,192",Jul-24,ST. FRANCIS ROAD,Resale,Strata,76.0,"12,829",-,Apartment,1,99 yrs lease commencing from 1992,12,Rest of Central Region,11 to 15,12,1192,Private-Apartment-99 yrs lease commencing from 1992
PARC RIVIERA,"1,150,000",710.42,"1,619",Jul-24,WEST COAST VALE,Resale,Strata,66.0,"17,424",-,Condominium,1,99 yrs lease commencing from 2015,5,Outside Central Region,01 to 05,5,1619,Private-Condominium-99 yrs lease commencing from 2015
TANJONG RIA CONDOMINIUM,"990,000",613.55,"1,614",Jul-24,TANJONG RHU ROAD,Resale,Strata,57.0,"17,368",-,Condominium,1,99 yrs lease commencing from 1993,15,Rest of Central Region,01 to 05,15,1614,Private-Condominium-99 yrs lease commencing from 1993
THE WOODLEIGH RESIDENCES,"1,530,000",667.37,"2,293",Jul-24,BIDADARI PARK DRIVE,Sub Sale,Strata,62.0,"24,677",-,Apartment,1,99 yrs lease commencing from 2017,13,Rest of Central Region,06 to 10,13,2293,Private-Apartment-99 yrs lease commencing from 2017
KENTISH GREEN,"1,700,000","1,270.15","1,338",Jul-24,OXFORD ROAD,Resale,Strata,118.0,"14,407",-,Apartment,1,99 yrs lease commencing from 1995,8,Rest of Central Region,01 to 05,8,1338,Private-Apartment-99 yrs lease commencing from 1995
THE PATERSON,"2,750,000","1,205.57","2,281",Jul-24,PATERSON ROAD,Resale,Strata,112.0,"24,554",-,Condominium,1,Freehold,9,Core Central Region,11 to 15,9,2281,Private-Condominium-Freehold
KI RESIDENCES AT BROOKVALE,"2,630,000","1,173.28","2,242",Jul-24,BROOKVALE DRIVE,Sub Sale,Strata,109.0,"24,128",-,Condominium,1,999 yrs lease commencing from 1885,21,Outside Central Region,06 to 10,21,2242,Private-Condominium-999 yrs lease commencing from 1885
CHANGI RISE CONDOMINIUM,"1,640,000","1,496.2","1,096",Jul-24,SIMEI RISE,Resale,Strata,139.0,"11,799",-,Condominium,1,99 yrs lease commencing from 2000,18,Outside Central Region,01 to 05,18,1096,Private-Condominium-99 yrs lease commencing from 2000
BOTANIC GARDENS MANSION,"3,740,000","1,754.53","2,132",Jul-24,TAMAN SERASI,Resale,Strata,163.0,"22,945",-,Apartment,1,Freehold,10,Core Central Region,01 to 05,10,2132,Private-Apartment-Freehold
NORTHVALE,"810,000",721.19,"1,123",Jul-24,CHOA CHU KANG LOOP,Resale,Strata,67.0,"12,090",-,Apartment,1,99 yrs lease commencing from 1995,23,Outside Central Region,06 to 10,23,1123,Private-Apartment-99 yrs lease commencing from 1995
WING FONG MANSIONS,"1,238,000","1,237.86","1,000",Jul-24,LORONG 14 GEYLANG,Resale,Strata,115.0,"10,765",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10,14,1000,Private-Apartment-Freehold
THE MAYFAIR,"780,000",635.08,"1,228",Jul-24,JURONG EAST STREET 32,Resale,Strata,59.0,"13,220",-,Condominium,1,99 yrs lease commencing from 1996,22,Outside Central Region,06 to 10,22,1228,Private-Condominium-99 yrs lease commencing from 1996
ONE-NORTH RESIDENCES,"960,000",613.55,"1,565",Jul-24,ONE-NORTH GATEWAY,Resale,Strata,57.0,"16,842",-,Apartment,1,99 yrs lease commencing from 2005,5,Rest of Central Region,01 to 05,5,1565,Private-Apartment-99 yrs lease commencing from 2005
CORALS AT KEPPEL BAY,"6,780,000","2,680.24","2,530",Jul-24,KEPPEL BAY DRIVE,Resale,Strata,249.0,"27,229",-,Condominium,1,99 yrs lease commencing from 2007,4,Rest of Central Region,01 to 05,4,2530,Private-Condominium-99 yrs lease commencing from 2007
NORMANTON PARK,"1,340,000",656.6,"2,041",Jul-24,NORMANTON PARK,Sub Sale,Strata,61.0,"21,967",-,Apartment,1,99 yrs lease commencing from 2019,5,Rest of Central Region,06 to 10,5,2041,Private-Apartment-99 yrs lease commencing from 2019
LA FIESTA,"1,180,000",753.48,"1,566",Jul-24,SENGKANG SQUARE,Resale,Strata,70.0,"16,857",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05,19,1566,Private-Condominium-99 yrs lease commencing from 2012
HIGHLINE RESIDENCES,"2,768,000","1,151.75","2,403",Jul-24,KIM TIAN ROAD,Resale,Strata,107.0,"25,869",-,Condominium,1,99 yrs lease commencing from 2013,3,Rest of Central Region,16 to 20,3,2403,Private-Condominium-99 yrs lease commencing from 2013
THE FLORENCE RESIDENCES,"785,000",484.38,"1,621",Jul-24,HOUGANG AVENUE 2,Sub Sale,Strata,45.0,"17,444",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10,19,1621,Private-Apartment-99 yrs lease commencing from 2018
TWIN VEW,"2,270,000","1,184.04","1,917",Jul-24,WEST COAST VALE,Resale,Strata,110.0,"20,636",-,Apartment,1,99 yrs lease commencing from 2017,5,Outside Central Region,26 to 30,5,1917,Private-Apartment-99 yrs lease commencing from 2017
NEWEST,"1,088,888",635.08,"1,715",Jul-24,WEST COAST DRIVE,Resale,Strata,59.0,"18,456",-,Apartment,1,956 yrs lease commencing from 1928,5,Outside Central Region,06 to 10,5,1715,Private-Apartment-956 yrs lease commencing from 1928
NORTHVALE,"1,365,000","1,270.15","1,075",Jul-24,CHOA CHU KANG LOOP,Resale,Strata,118.0,"11,568",-,Apartment,1,99 yrs lease commencing from 1995,23,Outside Central Region,06 to 10,23,1075,Private-Apartment-99 yrs lease commencing from 1995
THE GREENWICH,"800,000",602.78,"1,327",Jul-24,SELETAR ROAD,Resale,Strata,56.0,"14,286",-,Condominium,1,99 yrs lease commencing from 2009,28,Outside Central Region,01 to 05,28,1327,Private-Condominium-99 yrs lease commencing from 2009
STARS OF KOVAN,"1,495,000",742.72,"2,013",Jul-24,UPPER SERANGOON ROAD,Resale,Strata,69.0,"21,667",-,Apartment,1,99 yrs lease commencing from 2015,19,Outside Central Region,16 to 20,19,2013,Private-Apartment-99 yrs lease commencing from 2015
ONE DRAYCOTT,"2,298,000",796.54,"2,885",Jul-24,DRAYCOTT PARK,Resale,Strata,74.0,"31,054",-,Apartment,1,Freehold,10,Core Central Region,01 to 05,10,2885,Private-Apartment-Freehold
ECO,"910,000",592.02,"1,537",Jul-24,BEDOK SOUTH AVENUE 3,Resale,Strata,55.0,"16,545",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,06 to 10,16,1537,Private-Condominium-99 yrs lease commencing from 2012
THE PARC CONDOMINIUM,"2,730,000","1,420.85","1,921",Jul-24,WEST COAST WALK,Resale,Strata,132.0,"20,682",-,Condominium,1,Freehold,5,Outside Central Region,16 to 20,5,1921,Private-Condominium-Freehold
BISHAN POINT,"1,880,000","1,184.04","1,588",Jul-24,BRIGHT HILL DRIVE,Resale,Strata,110.0,"17,091",-,Condominium,1,99 yrs lease commencing from 1997,20,Rest of Central Region,16 to 20,20,1588,Private-Condominium-99 yrs lease commencing from 1997
RISING COURT,"2,075,000","1,506.96","1,377",Jul-24,JOO CHIAT ROAD,Resale,Strata,140.0,"14,821",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,15,1377,Private-Apartment-Freehold
SELETAR SPRINGS CONDOMINIUM,"1,560,000","1,560.78","1,000",Jul-24,GERALD DRIVE,Resale,Strata,145.0,"10,759",-,Condominium,1,99 yrs lease commencing from 1997,28,Outside Central Region,01 to 05,28,1000,Private-Condominium-99 yrs lease commencing from 1997
SKY GREEN,"1,420,000",796.54,"1,783",Jul-24,MACPHERSON ROAD,Resale,Strata,74.0,"19,189",-,Condominium,1,Freehold,13,Rest of Central Region,01 to 05,13,1783,Private-Condominium-Freehold
JADESCAPE,"4,168,000","2,098.98","1,986",Jul-24,SHUNFU ROAD,Resale,Strata,195.0,"21,374",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,01 to 05,20,1986,Private-Condominium-99 yrs lease commencing from 2018
THE GARDEN RESIDENCES,"1,460,988",861.12,"1,697",Jul-24,SERANGOON NORTH VIEW,Resale,Strata,80.0,"18,262",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,01 to 05,19,1697,Private-Apartment-99 yrs lease commencing from 2017
THE TEMBUSU,"2,488,000","1,377.79","1,806",Jul-24,TAMPINES ROAD,Resale,Strata,128.0,"19,438",-,Condominium,1,Freehold,19,Outside Central Region,16 to 20,19,1806,Private-Condominium-Freehold
ORCHARD SOPHIA,"1,704,050",592.02,"2,878",Jul-24,SOPHIA ROAD,New Sale,Strata,55.0,"30,983",-,Apartment,1,Freehold,9,Core Central Region,01 to 05,9,2878,Private-Apartment-Freehold
D'NEST,"1,098,800",753.48,"1,458",Jul-24,PASIR RIS GROVE,Resale,Strata,70.0,"15,697",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,06 to 10,18,1458,Private-Condominium-99 yrs lease commencing from 2010
