Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,tenure_display,Postal District,Market Segment,Floor Level,postal_sector,price_psf,comparison_key
COCO PALMS,"1,268,000",742.72,"1,707",Aug-24,PASIR RIS GROVE,Resale,Strata,69.0,"18,377",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,11 to 15,18,1707,Private-Condominium-99 yrs lease commencing from 2008
PENROSE,"1,260,000",645.84,"1,951",Aug-24,SIMS DRIVE,Sub Sale,Strata,60.0,"21,000",-,Apartment,1,99 yrs lease commencing from 2019,14,Rest of Central Region,11 to 15,14,1951,Private-Apartment-99 yrs lease commencing from 2019
Q BAY RESIDENCES,"760,000",516.67,"1,471",Aug-24,TAMPINES STREET 86,Resale,Strata,48.0,"15,833",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,06 to 10,18,1471,Private-Condominium-99 yrs lease commencing from 2012
ASTORIA PARK,"1,550,000","1,313.21","1,180",Aug-24,LORONG MYDIN,Resale,Strata,122.0,"12,705",-,Condominium,1,99 yrs lease commencing from 1993,14,Outside Central Region,01 to 05,14,1180,Private-Condominium-99 yrs lease commencing from 1993
SHERWOOD CONDOMINIUM,"1,600,000",958,"1,670",Aug-24,JALAN JURONG KECHIL,Resale,Strata,89.0,"17,978",-,Condominium,1,Freehold,21,Rest of Central Region,06 to 10,21,1670,Private-Condominium-Freehold
PARC OLYMPIA,"1,938,000","1,646.89","1,177",Aug-24,FLORA DRIVE,Resale,Strata,153.0,"12,667",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05,17,1177,Private-Condominium-99 yrs lease commencing from 2012
SKYSUITES@ANSON,"1,520,000",699.66,"2,172",Aug-24,ENGGOR STREET,Resale,Strata,65.0,"23,385",-,Apartment,1,99 yrs lease commencing from 2008,2,Core Central Region,41 to 45,2,2172,Private-Apartment-99 yrs lease commencing from 2008
ALEX RESIDENCES,"945,000",473.62,"1,995",Aug-24,ALEXANDRA VIEW,Resale,Strata,44.0,"21,477",-,Apartment,1,99 yrs lease commencing from 2013,3,Rest of Central Region,11 to 15,3,1995,Private-Apartment-99 yrs lease commencing from 2013
LUCKY PLAZA,"3,100,000","1,646.89","1,882",Aug-24,ORCHARD ROAD,Resale,Strata,153.0,"20,261",-,Apartment,1,Freehold,9,Core Central Region,16 to 20,9,1882,Private-Apartment-Freehold
THE FLORENCE RESIDENCES,"2,493,888","1,280.92","1,947",Aug-24,HOUGANG AVENUE 2,Sub Sale,Strata,119.0,"20,957",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10,19,1947,Private-Apartment-99 yrs lease commencing from 2018
LOYANG GARDENS,"1,488,888","1,485.43","1,002",Aug-24,JALAN LOYANG BESAR,Resale,Strata,138.0,"10,789",-,Condominium,1,999 yrs lease commencing from 1885,17,Outside Central Region,-,17,1002,Private-Condominium-999 yrs lease commencing from 1885
BARTLEY VUE,"2,750,000","1,356.26","2,028",Aug-24,JALAN BUNGA RAMPAI,Sub Sale,Strata,126.0,"21,825",-,Apartment,1,99 yrs lease commencing from 2020,19,Rest of Central Region,06 to 10,19,2028,Private-Apartment-99 yrs lease commencing from 2020
THE MEYERISE,"3,400,000","1,270.15","2,677",Aug-24,MEYER ROAD,Resale,Strata,118.0,"28,814",-,Condominium,1,Freehold,15,Rest of Central Region,26 to 30,15,2677,Private-Condominium-Freehold
SUNGLADE,"1,720,000","1,151.75","1,493",Aug-24,SERANGOON AVENUE 2,Resale,Strata,107.0,"16,075",-,Condominium,1,99 yrs lease commencing from 2000,19,Outside Central Region,01 to 05,19,1493,Private-Condominium-99 yrs lease commencing from 2000
THE CALLISTA,"1,425,000","1,130.22","1,261",Aug-24,MAR THOMA ROAD,Resale,Strata,105.0,"13,571",-,Apartment,1,999 yrs lease commencing from 1882,12,Rest of Central Region,01 to 05,12,1261,Private-Apartment-999 yrs lease commencing from 1882
THE PARC CONDOMINIUM,"2,760,000","1,420.85","1,943",Aug-24,WEST COAST WALK,Resale,Strata,132.0,"20,909",-,Condominium,1,Freehold,5,Outside Central Region,16 to 20,5,1943,Private-Condominium-Freehold
SEASIDE RESIDENCES,"1,050,000",505.91,"2,075",Aug-24,SIGLAP LINK,Resale,Strata,47.0,"22,340",-,Apartment,1,99 yrs lease commencing from 2016,15,Outside Central Region,06 to 10,15,2075,Private-Apartment-99 yrs lease commencing from 2016
BELLE VUE RESIDENCES,"4,200,000","1,980.58","2,121",Aug-24,OXLEY WALK,Resale,Strata,184.0,"22,826",-,Condominium,1,Freehold,9,Core Central Region,01 to 05,9,2121,Private-Condominium-Freehold
STIRLING RESIDENCES,"1,620,000",678.13,"2,389",Aug-24,STIRLING ROAD,Resale,Strata,63.0,"25,714",-,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,06 to 10,3,2389,Private-Apartment-99 yrs lease commencing from 2017
BEDOK COURT,"2,280,000","2,411.14",946,Aug-24,BEDOK SOUTH AVENUE 3,Resale,Strata,224.0,"10,179",-,Condominium,1,99 yrs lease commencing from 1982,16,Outside Central Region,06 to 10,16,946,Private-Condominium-99 yrs lease commencing from 1982
BALMORAL GATE,"2,900,000","1,270.15","2,283",Aug-24,BALMORAL ROAD,Resale,Strata,118.0,"24,576",-,Condominium,1,Freehold,10,Core Central Region,16 to 20,10,2283,Private-Condominium-Freehold
WING ON LIFE GARDEN,"7,450,888","3,304.55","2,255",Aug-24,BUKIT TIMAH ROAD,Resale,Strata,307.0,"24,270",-,Apartment,1,Freehold,10,Core Central Region,11 to 15,10,2255,Private-Apartment-Freehold
FORETT@BUKIT TIMAH,"1,910,000",861.12,"2,218",Aug-24,TOH TUCK ROAD,Sub Sale,Strata,80.0,"23,875",-,Apartment,1,Freehold,21,Rest of Central Region,06 to 10,21,2218,Private-Apartment-Freehold
LENTOR MANSION,"3,406,000","1,485.43","2,293",Aug-24,LENTOR GARDENS,New Sale,Strata,138.0,"24,681",-,Apartment,1,99 yrs lease commencing from 2023,26,Outside Central Region,11 to 15,26,2293,Private-Apartment-99 yrs lease commencing from 2023
LENTOR MANSION,"2,667,000","1,227.1","2,173",Aug-24,LENTOR GARDENS,New Sale,Strata,114.0,"23,395",-,Apartment,1,99 yrs lease commencing from 2023,26,Outside Central Region,01 to 05,26,2173,Private-Apartment-99 yrs lease commencing from 2023
SORA,"1,572,000",731.95,"2,148",Aug-24,YUAN CHING ROAD,New Sale,Strata,68.0,"23,118",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,01 to 05,22,2148,Private-Apartment-99 yrs lease commencing from 2023
SORA,"1,621,000",731.95,"2,215",Aug-24,YUAN CHING ROAD,New Sale,Strata,68.0,"23,838",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,06 to 10,22,2215,Private-Apartment-99 yrs lease commencing from 2023
JADESCAPE,"3,280,000","1,420.85","2,308",Aug-24,SHUNFU ROAD,Resale,Strata,132.0,"24,848",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,11 to 15,20,2308,Private-Condominium-99 yrs lease commencing from 2018
THE MYST,"2,262,000","1,162.51","1,946",Aug-24,UPPER BUKIT TIMAH ROAD,New Sale,Strata,108.0,"20,944",-,Condominium,1,99 yrs lease commencing from 2023,23,Outside Central Region,06 to 10,23,1946,Private-Condominium-99 yrs lease commencing from 2023
RIVERVALE CREST,"1,210,000","1,140.98","1,060",Aug-24,RIVERVALE CRESCENT,Resale,Strata,106.0,"11,415",-,Apartment,1,99 yrs lease commencing from 1997,19,Outside Central Region,01 to 05,19,1060,Private-Apartment-99 yrs lease commencing from 1997
TEMBUSU GRAND,"2,858,000","1,173.28","2,436",Aug-24,JALAN TEMBUSU,New Sale,Strata,109.0,"26,220",-,Condominium,1,99 yrs lease commencing from 2022,15,Rest of Central Region,11 to 15,15,2436,Private-Condominium-99 yrs lease commencing from 2022
