Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
POLLEN COLLECTION,"3,528,000","1,614.6","2,185",Aug-23,POLLEN VIEW,New Sale,Land,150,"23,520",-,Terrace House,1,99 yrs lease commencing from 2019,28,Outside Central Region,-
CAPITOL PARK,"8,800,000","4,269","2,061",Aug-23,JALAN SEJARAH,Resale,Land,396.6,"22,189",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"9,680,000","3,332.53","2,905",Aug-23,ROBIN CLOSE,Resale,Land,309.6,"31,266",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
SOO CHOW GARDEN,"5,400,000","2,781.42","1,941",Aug-23,SOO CHOW VIEW,Resale,Land,258.4,"20,898",-,Terrace House,1,Freehold,20,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,000,000","2,193.7","1,823",Aug-23,JALAN CHORAK,Resale,Land,203.8,"19,627",-,Detached House,1,Freehold,19,Outside Central Region,-
EAST VIEW GARDEN,"4,500,000","3,938.55","1,143",Aug-23,JALAN PERGAM,Resale,Land,365.9,"12,298",-,Semi-Detached House,1,Freehold,16,Outside Central Region,-
LUCKY PARK,"5,300,000","2,111.9","2,510",Aug-23,LILY AVENUE,Resale,Land,196.2,"27,013",-,Terrace House,1,Freehold,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"4,230,000","1,913.84","2,210",Aug-23,CEYLON ROAD,Resale,Land,177.8,"23,791",-,Terrace House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"2,200,000","1,785.75","1,232",Aug-23,KERONG LANE,Resale,Land,165.9,"13,261",-,Terrace House,1,99 yrs lease commencing from 2008,27,Outside Central Region,-
LUCKY HILL,"4,400,000","2,763.12","1,592",Aug-23,BEDOK TERRACE,Resale,Land,256.7,"17,141",-,Terrace House,1,999 yrs lease commencing from 1878,16,Outside Central Region,-
LOYANG VILLAS,"2,260,000","1,614.6","1,400",Aug-23,LOYANG RISE,Resale,Land,150,"15,067",-,Terrace House,1,99 yrs lease commencing from 1993,17,Outside Central Region,-
CASHEW VILLAS,"3,900,000","1,679.18","2,323",Aug-23,CASHEW CRESCENT,Resale,Land,156,"25,000",-,Terrace House,1,999 yrs lease commencing from 1883,23,Outside Central Region,-
BEAUTY GARDEN,"4,450,000","3,211.98","1,385",Aug-23,JALAN MERDU,Resale,Land,298.4,"14,913",-,Semi-Detached House,1,999 yrs lease commencing from 1879,19,Outside Central Region,-
OPERA ESTATE,"9,950,000","6,004.16","1,657",Aug-23,CARMEN STREET,Resale,Land,557.8,"17,838",-,Detached House,1,Freehold,15,Outside Central Region,-
LOYANG VILLAS,"2,280,000","1,614.6","1,412",Aug-23,LOYANG RISE,Resale,Land,150,"15,200",-,Terrace House,1,99 yrs lease commencing from 1993,17,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"8,000,000","2,346.55","3,409",Aug-23,BO SENG AVENUE,New Sale,Land,218,"36,697",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
BRADDELL HEIGHTS ESTATE,"10,500,000","4,429.39","2,371",Aug-23,COTSWOLD CLOSE,Resale,Land,411.5,"25,516",-,Detached House,1,Freehold,13,Outside Central Region,-
BURGUNDY HILL,"2,750,000","2,206.62","1,246",Aug-23,BURGUNDY CRESCENT,Resale,Land,205,"13,415",-,Semi-Detached House,1,99 yrs lease commencing from 1995,23,Outside Central Region,-
FABER GARDEN,"5,500,000","3,382.05","1,626",Aug-23,JALAN REBANA,Resale,Land,314.2,"17,505",-,Semi-Detached House,1,Freehold,20,Rest of Central Region,-
SIMEI GARDEN,"5,350,000","4,829.81","1,108",Aug-23,JALAN SOO BEE,Resale,Land,448.7,"11,923",-,Semi-Detached House,1,Freehold,16,Outside Central Region,-
THOMSON HILLS ESTATE,"4,505,000","2,438.05","1,848",Aug-23,SEMBAWANG HILLS DRIVE,Resale,Land,226.5,"19,890",-,Terrace House,1,Freehold,20,Outside Central Region,-
TAI HWAN GARDEN,"4,950,000","2,861.07","1,730",Aug-23,TAI HWAN WALK,Resale,Land,265.8,"18,623",-,Terrace House,1,Freehold,19,Outside Central Region,-
KEW VALE,"3,220,000","2,400.37","1,341",Aug-23,KEW HEIGHTS,Resale,Land,223,"14,439",-,Semi-Detached House,1,99 yrs lease commencing from 1994,16,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"10,388,000","4,326.05","2,401",Aug-23,STEVENS CLOSE,Resale,Land,401.9,"25,847",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
MERA GARDENS,"4,000,000","5,966.49",670,Aug-23,ALMOND CRESCENT,Resale,Land,554.3,"7,216",-,Detached House,1,99 yrs lease commencing from 1994,23,Outside Central Region,-
SEMBAWANG STRAITS ESTATE,"3,330,000","1,610.29","2,068",Aug-23,ANDREWS AVENUE,Resale,Land,149.6,"22,259",-,Terrace House,1,Freehold,27,Outside Central Region,-
BEDOKVILLE,"4,500,000","2,156.03","2,087",Aug-23,TANAH MERAH KECHIL ROAD SOUTH,Resale,Land,200.3,"22,466",-,Terrace House,1,Freehold,16,Outside Central Region,-
PRINCETON VALE,"2,400,000","1,709.32","1,404",Aug-23,POH HUAT TERRACE,Resale,Land,158.8,"15,113",-,Terrace House,1,99 yrs lease commencing from 1996,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,380,000","2,171.1","2,017",Jul-23,PASIR PANJANG ROAD,Resale,Land,201.7,"21,715",-,Semi-Detached House,1,Freehold,05,Rest of Central Region,-
HOCK SENG PARK,"7,500,000","3,954.69","1,896",Jul-23,JALAN JAMBU AYER,Resale,Land,367.4,"20,414",-,Semi-Detached House,1,Freehold,21,Rest of Central Region,-
POLLEN COLLECTION,"3,620,000","1,614.6","2,242",Jul-23,POLLEN VIEW,New Sale,Land,150,"24,133",-,Terrace House,1,99 yrs lease commencing from 2019,28,Outside Central Region,-
CHARLTON PARK,"6,080,000","3,600.56","1,689",Jul-23,JALAN SONGKET,Resale,Land,334.5,"18,176",-,Semi-Detached House,1,Freehold,19,Outside Central Region,-
MCMAHON PARK,"10,380,000","3,547.81","2,926",Jul-23,JALAN ISTIMEWA,Resale,Land,329.6,"31,493",-,Semi-Detached House,1,999 yrs lease commencing from 1877,10,Core Central Region,-
KIMNAN PARK,"8,200,000","3,532.74","2,321",Jul-23,JALAN SELAMAT,Resale,Land,328.2,"24,985",-,Terrace House,1,Freehold,14,Outside Central Region,-
SELETAR HILLS ESTATE,"4,750,000","3,641.46","1,304",Jul-23,KASAI ROAD,Resale,Land,338.3,"14,041",-,Semi-Detached House,1,Freehold,28,Outside Central Region,-
FABER HILLS,"6,500,000","4,073.1","1,596",Jul-23,FABER WALK,Resale,Land,378.4,"17,178",-,Semi-Detached House,1,Freehold,05,Outside Central Region,-
SELETAR HILLS ESTATE,"5,828,000","3,135.55","1,859",Jul-23,JALAN SINDOR,Resale,Land,291.3,"20,007",-,Semi-Detached House,1,Freehold,28,Outside Central Region,-
POLLEN COLLECTION,"3,548,000","1,614.6","2,197",Jul-23,POLLEN VIEW,New Sale,Land,150,"23,653",-,Terrace House,1,99 yrs lease commencing from 2019,28,Outside Central Region,-
SERANGOON GARDEN ESTATE,"3,200,000","1,839.57","1,740",Jul-23,CONWAY GROVE,Resale,Land,170.9,"18,724",-,Terrace House,1,999 yrs lease commencing from 1956,19,Outside Central Region,-
THE JARDINE RESIDENCES,"5,628,000","1,905.23","2,954",Jul-23,LORONG CHUAN,New Sale,Land,177,"31,797",-,Terrace House,1,Freehold,19,Outside Central Region,-
THOMSON GARDEN ESTATE,"3,088,888","1,262.62","2,446",Jul-23,JALAN ISNIN,Resale,Land,117.3,"26,333",-,Terrace House,1,Freehold,20,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"8,000,000","3,658.68","2,187",Jul-23,LORONG 12 GEYLANG,Resale,Land,339.9,"23,536",-,Semi-Detached House,2,Freehold,14,Rest of Central Region,-
WELLINGTON PARK,"5,488,000","3,266.87","1,680",Jul-23,ELLINGTON SQUARE,Resale,Land,303.5,"18,082",-,Semi-Detached House,1,Freehold,20,Outside Central Region,-
WESTWOOD PARK,"2,180,000","1,614.6","1,350",Jul-23,WESTWOOD CRESCENT,Resale,Land,150,"14,533",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WEST SEA GARDENS,"6,700,000","3,781.39","1,772",Jul-23,JALAN PELEPAH,Resale,Land,351.3,"19,072",-,Semi-Detached House,1,Freehold,05,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"6,400,000","7,464.83",857,Jul-23,SENNETT TERRACE,Resale,Land,693.5,"9,229",-,Semi-Detached House,1,Freehold,16,Outside Central Region,-
THOMSON RIDGE,"6,200,000","3,197.98","1,939",Jul-23,THOMSON RIDGE,Resale,Land,297.1,"20,868",-,Semi-Detached House,1,Freehold,20,Rest of Central Region,-
VILLA VERDE,"2,300,000","1,614.6","1,425",Jul-23,VERDE CRESCENT,Resale,Land,150,"15,333",-,Terrace House,1,99 yrs lease commencing from 1997,23,Outside Central Region,-
CHENG SOON GARDEN,"4,950,000","2,841.7","1,742",Jul-23,CHENG SOON GARDEN,Resale,Land,264,"18,750",-,Terrace House,1,Freehold,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"6,880,000","3,438.02","2,001",Jul-23,MEYER ROAD,Resale,Land,319.4,"21,540",-,Semi-Detached House,1,Freehold,15,Rest of Central Region,-
GOLDEN RISE ESTATE,"4,900,000","3,164.62","1,548",Jul-23,LORONG KISMIS,Resale,Land,294,"16,667",-,Terrace House,1,Freehold,21,Rest of Central Region,-
SELETAR HILLS ESTATE,"6,100,000","6,745.8",904,Jul-23,KASAI ROAD,Resale,Land,626.7,"9,734",-,Detached House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,400,000","1,596.3","3,383",Jul-23,SIMON LANE,Resale,Land,148.3,"36,413",-,Terrace House,1,Freehold,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"8,600,000","6,125.79","1,404",Jul-23,SEA AVENUE,Resale,Land,569.1,"15,112",-,Detached House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"6,400,000","4,048.88","1,581",Jul-23,SENNETT TERRACE,New Sale,Land,376.15,"17,014",-,Semi-Detached House,1,Freehold,16,Outside Central Region,-
POLLEN COLLECTION,"3,620,000","1,614.6","2,242",Jul-23,POLLEN VIEW,New Sale,Land,150,"24,133",-,Terrace House,1,99 yrs lease commencing from 2019,28,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"15,000,000","8,098.83","1,852",Jul-23,LIM TAI SEE WALK,Resale,Land,752.4,"19,936",-,Detached House,1,Freehold,10,Core Central Region,-
FULTON HILL,"4,700,000","2,674.85","1,757",Jul-23,FULTON AVENUE,Resale,Land,248.5,"18,913",-,Terrace House,1,Freehold,20,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,068,000","1,963.35","2,072",Jul-23,JOON HIANG ROAD,Resale,Land,182.4,"22,303",-,Terrace House,1,Freehold,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,300,000","2,488.64","2,130",Jul-23,JALAN MELOR,Resale,Land,231.2,"22,924",-,Semi-Detached House,1,Freehold,13,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"3,550,000","1,774.98","2,000",Jul-23,JOO CHIAT AVENUE,Resale,Land,164.9,"21,528",-,Terrace House,1,Freehold,15,Outside Central Region,-
WESTWOOD PARK,"2,268,000","1,855.71","1,222",Jul-23,WESTWOOD DRIVE,Resale,Land,172.4,"13,155",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
THE RIVERINA,"2,443,888","1,614.6","1,514",Jul-23,RIVERINA CRESCENT,Resale,Land,150,"16,293",-,Terrace House,1,99 yrs lease commencing from 1996,18,Outside Central Region,-
RICHMOND VILLE,"4,780,000","2,702.84","1,769",Jul-23,LIMAU GARDEN,Resale,Land,251.1,"19,036",-,Semi-Detached House,1,Freehold,16,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"8,600,000","3,746.95","2,295",Jul-23,LORONG MARICAN,New Sale,Land,348.1,"24,706",-,Semi-Detached House,1,Freehold,14,Outside Central Region,-
OPERA ESTATE,"4,000,000","2,906.28","1,376",Jul-23,TERANG BULAN AVENUE,Resale,Land,270,"14,815",-,Terrace House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,880,000","3,064.51","1,592",Jul-23,CHANGI ROAD,Resale,Land,284.7,"17,141",-,Terrace House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,980,000","3,304.55","1,507",Jul-23,CHU YEN STREET,Resale,Land,307,"16,221",-,Semi-Detached House,1,999 yrs lease commencing from 1885,23,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,400,000","1,981.65","1,716",Jul-23,HIGHLAND CLOSE,Resale,Land,184.1,"18,468",-,Terrace House,1,Freehold,19,Outside Central Region,-
EDEN PARK,"8,480,000","3,209.82","2,642",Jul-23,FIR AVENUE,Resale,Land,298.2,"28,437",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"3,320,000","1,699.64","1,953",Jul-23,POH HUAT ROAD,Resale,Land,157.9,"21,026",-,Terrace House,1,999 yrs lease commencing from 1875,19,Outside Central Region,-
MCMAHON PARK,"7,300,000","3,750.18","1,947",Jul-23,JALAN JELITA,Resale,Land,348.4,"20,953",-,Semi-Detached House,1,999 yrs lease commencing from 1877,10,Core Central Region,-
THOMSON PARK,"4,600,000","2,444.5","1,882",Jul-23,JALAN TERUBOK,Resale,Land,227.1,"20,255",-,Semi-Detached House,1,Freehold,20,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"8,800,000","4,937.45","1,782",Jul-23,POOLE ROAD,Resale,Land,458.7,"19,185",-,Semi-Detached House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,550,000","2,943.95","1,546",Jul-23,HILLSIDE DRIVE,Resale,Land,273.5,"16,636",-,Semi-Detached House,1,999 yrs lease commencing from 1876,19,Outside Central Region,-
MACPHERSON GARDEN ESTATE,"2,260,000",884.8,"2,554",Jul-23,JALAN GEMBIRA,Resale,Land,82.2,"27,494",-,Terrace House,1,Freehold,13,Rest of Central Region,-
HILLCREST PARK,"6,880,000","2,555.37","2,692",Jul-23,HILLCREST ROAD,Resale,Land,237.4,"28,981",-,Terrace House,1,Freehold,11,Core Central Region,-
ENG AUN PARK,"7,778,888","2,361.62","3,294",Jul-23,JALAN NOVENA SELATAN,New Sale,Land,219.4,"35,455",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
BAN GUAN PARK,"8,800,000","3,359.44","2,619",Jul-23,GREENLEAF PLACE,Resale,Land,312.1,"28,196",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"4,360,000","1,767.45","2,467",Jul-23,CEYLON ROAD,Resale,Land,164.2,"26,553",-,Terrace House,1,Freehold,15,Rest of Central Region,-
PRINCETON VALE,"3,450,000","3,079.58","1,120",Jul-23,POH HUAT TERRACE,Resale,Land,286.1,"12,059",-,Semi-Detached House,1,99 yrs lease commencing from 1996,19,Outside Central Region,-
SERANGOON GARDEN ESTATE,"5,388,888","2,796.49","1,927",Jul-23,BURGHLEY DRIVE,Resale,Land,259.8,"20,742",-,Semi-Detached House,1,999 yrs lease commencing from 1955,19,Outside Central Region,-
OPERA ESTATE,"1,990,000","1,392.86","1,429",Jul-23,RIENZI STREET,Resale,Land,129.4,"15,379",-,Terrace House,1,Freehold,15,Outside Central Region,-
OPERA ESTATE,"4,300,000","1,764.22","2,437",Jul-23,JALAN BANGSAWAN,Resale,Land,163.9,"26,236",-,Terrace House,1,Freehold,15,Outside Central Region,-
FABER HILLS,"4,000,000","2,160.33","1,852",Jul-23,FABER TERRACE,Resale,Land,200.7,"19,930",-,Terrace House,1,Freehold,05,Outside Central Region,-
HOLLAND GROVE,"4,000,000","2,582.28","1,549",Jul-23,HOLLAND GROVE VIEW,Resale,Land,239.9,"16,674",-,Semi-Detached House,1,99 yrs lease commencing from 1994,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"5,950,000","3,303.47","1,801",Jul-23,JALAN HOCK CHYE,Resale,Land,306.9,"19,387",-,Semi-Detached House,1,Freehold,19,Outside Central Region,-
TENGGIRIA,"6,350,000","3,016.07","2,105",Jul-23,JALAN TENGGIRI,Resale,Land,280.2,"22,662",-,Terrace House,1,Freehold,15,Outside Central Region,-
MOUNT SINAI,"5,000,000","1,807.28","2,767",Jul-23,MOUNT SINAI DRIVE,Resale,Land,167.9,"29,780",-,Terrace House,1,999 yrs lease commencing from 1885,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"4,800,000","2,692.08","1,783",Jul-23,RAMBAI ROAD,Resale,Land,250.1,"19,192",-,Terrace House,1,Freehold,15,Rest of Central Region,-
POLLEN COLLECTION,"4,460,000","3,186.14","1,400",Jul-23,POLLEN VIEW,New Sale,Land,296,"15,068",-,Terrace House,1,99 yrs lease commencing from 2019,28,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,300,000","4,919.15","1,281",Jul-23,PHILLIPS AVENUE,Resale,Land,457,"13,786",-,Semi-Detached House,1,999 yrs lease commencing from 1886,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,600,000","4,016.05","1,145",Jul-23,WOLSKEL ROAD,Resale,Land,373.1,"12,329",-,Semi-Detached House,1,Freehold,13,Outside Central Region,-
WATTEN ESTATE,"15,600,000","9,415.27","1,657",Jul-23,WATTEN ESTATE ROAD,Sub Sale,Land,874.7,"17,835",-,Detached House,1,Freehold,11,Core Central Region,-
MING TECK PARK,"4,500,000","1,857.87","2,422",Jul-23,MING TECK PARK,Resale,Land,172.6,"26,072",-,Terrace House,1,999 yrs lease commencing from 1876,10,Core Central Region,-
KEMBANGAN ESTATE,"5,100,000","4,140.91","1,232",Jul-23,LORONG MELAYU,Resale,Land,384.7,"13,257",-,Semi-Detached House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,700,000","4,410.01","1,066",Jul-23,TANAH MERAH BESAR LANE,Resale,Land,409.7,"11,472",-,Detached House,1,Freehold,17,Outside Central Region,-
KINGS VILLE,"5,050,000","3,147.39","1,605",Jul-23,KING'S DRIVE,Resale,Land,292.4,"17,271",-,Semi-Detached House,1,102 yrs lease commencing from 1996,10,Core Central Region,-
MING TECK PARK,"5,380,000","2,873.99","1,872",Jul-23,SIXTH AVENUE,Resale,Land,267,"20,150",-,Terrace House,1,999 yrs lease commencing from 1876,10,Core Central Region,-
FANTA GARDEN,"3,710,000","1,979.5","1,874",Jul-23,BEGONIA DRIVE,Resale,Land,183.9,"20,174",-,Terrace House,1,Freehold,28,Outside Central Region,-
PALM GROVE TERRACE,"4,220,000","2,321.79","1,818",Jul-23,FLOWER ROAD,Resale,Land,215.7,"19,564",-,Terrace House,1,999 yrs lease commencing from 1878,19,Outside Central Region,-
BEAUTY GARDEN,"3,600,000","3,247.5","1,109",Jul-23,PUNGGOL ROAD,Resale,Land,301.7,"11,932",-,Terrace House,1,999 yrs lease commencing from 1879,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,700,000","3,460.63","1,647",Jul-23,JALAN RINDU,Resale,Land,321.5,"17,729",-,Terrace House,1,Freehold,19,Outside Central Region,-
EAST VIEW GARDEN,"6,100,000","8,337.79",732,Jul-23,JALAN PERGAM,Resale,Land,774.6,"7,875",-,Semi-Detached House,2,Freehold,16,Outside Central Region,-
GOLDWOOD GARDENS,"8,250,000","7,841.57","1,052",Jul-23,SEMBAWANG PLACE,Resale,Land,728.5,"11,325",-,Detached House,1,Freehold,27,Outside Central Region,-
YIO CHU KANG TERRACE,"5,100,000","2,198.01","2,320",Jul-23,YIO CHU KANG TERRACE,Resale,Land,204.2,"24,976",-,Terrace House,1,Freehold,19,Outside Central Region,-
SERANGOON GARDEN ESTATE,"4,250,000","2,805.1","1,515",Jul-23,BROCKHAMPTON DRIVE,Resale,Land,260.6,"16,309",-,Semi-Detached House,1,999 yrs lease commencing from 1956,19,Outside Central Region,-
THOMSON PARK,"3,880,000","1,608.14","2,413",Jul-23,JALAN SEMBILANG,Resale,Land,149.4,"25,971",-,Terrace House,1,Freehold,20,Rest of Central Region,-
PAVILION PARK,"3,800,000","1,615.68","2,352",Jul-23,PAVILION CIRCLE,Resale,Land,150.1,"25,316",-,Terrace House,1,Freehold,23,Outside Central Region,-
DUCHESS GARDEN,"10,700,000","5,803.95","1,844",Jul-23,DUCHESS AVENUE,Resale,Land,539.2,"19,844",-,Semi-Detached House,1,999 yrs lease commencing from 1875,10,Core Central Region,-
BAN GUAN PARK,"8,000,000","3,588.72","2,229",Jul-23,GREENLEAF VIEW,Resale,Land,333.4,"23,995",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
SANFORD PARK,"4,088,888","1,877.24","2,178",Jul-23,SIRAT PLACE,Resale,Land,174.4,"23,445",-,Terrace House,1,Freehold,19,Outside Central Region,-
DEDAP GARDENS,"4,060,889","2,379.92","1,706",Jul-23,DEDAP LINK,Resale,Land,221.1,"18,367",-,Terrace House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,550,000","2,783.57","2,353",Jul-23,JALAN SIANTAN,Resale,Land,258.6,"25,329",-,Terrace House,1,Freehold,10,Core Central Region,-
HILLVIEW GARDEN ESTATE,"3,980,000","2,244.29","1,773",Jul-23,JALAN ZAMRUD,Resale,Land,208.5,"19,089",-,Terrace House,1,Freehold,23,Outside Central Region,-
OPERA ESTATE,"3,338,888","1,320.74","2,528",Jul-23,AIDA STREET,Resale,Land,122.7,"27,212",-,Terrace House,1,Freehold,15,Outside Central Region,-
YUGI GARDEN,"4,350,000","3,370.21","1,291",Jul-23,JALAN CHEMPAKA KUNING,Resale,Land,313.1,"13,893",-,Semi-Detached House,1,Freehold,16,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"505,000","2,518.78",200,Jul-23,JALAN CHEMPAKA KUNING,Resale,Land,234,"2,158",-,Terrace House,1,70 yrs lease commencing from 1964,16,Outside Central Region,-
SERANGOON GARDEN ESTATE,"6,980,000","4,358.34","1,602",Jul-23,CROWHURST DRIVE,Resale,Land,404.9,"17,239",-,Semi-Detached House,1,999 yrs lease commencing from 1953,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,188,000","2,335.79","1,793",Jul-23,LENGKONG TIGA,Resale,Land,217,"19,300",-,Semi-Detached House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,880,000","2,245.37","1,728",Jul-23,SANDILANDS ROAD,Resale,Land,208.6,"18,600",-,Terrace House,1,999 yrs lease commencing from 1886,19,Outside Central Region,-
FABER HILLS,"4,100,000","2,154.95","1,903",Jul-23,FABER TERRACE,Resale,Land,200.2,"20,480",-,Terrace House,1,Freehold,05,Outside Central Region,-
WESTVILLE,"2,023,000","1,612.45","1,255",Jul-23,WESTWOOD CRESCENT,Resale,Land,149.8,"13,505",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
SERANGOON GARDEN ESTATE,"3,400,000","2,158.18","1,575",Jul-23,PORTCHESTER AVENUE,Resale,Land,200.5,"16,958",-,Terrace House,1,999 yrs lease commencing from 1955,19,Outside Central Region,-
CALDECOTT HILL ESTATE,"22,250,000","10,930.84","2,036",Jul-23,CALDECOTT CLOSE,Resale,Land,"1,015.5","21,910",-,Detached House,1,Freehold,11,Core Central Region,-
SPRINGLEAF GARDEN,"4,300,000","3,669.45","1,172",Jul-23,SPRINGLEAF CRESCENT,Resale,Land,340.9,"12,614",-,Semi-Detached House,1,Freehold,26,Outside Central Region,-
KING'S GARDEN,"5,700,000","2,144.19","2,658",Jul-23,KING'S ROAD,Resale,Land,199.2,"28,614",-,Terrace House,1,Freehold,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"3,380,000","1,950.44","1,733",Jul-23,KOVAN ROAD,Resale,Land,181.2,"18,653",-,Terrace House,1,Freehold,19,Outside Central Region,-
SENNETT ESTATE,"3,300,000","1,500.5","2,199",Jul-23,MULBERRY AVENUE,Resale,Land,139.4,"23,673",-,Terrace House,1,Freehold,13,Rest of Central Region,-
YONG SENG ESTATE,"3,100,000","1,883.7","1,646",Jul-23,JALAN PARAS,Resale,Land,175,"17,714",-,Terrace House,1,Freehold,14,Outside Central Region,-
SERANGOON GARDEN ESTATE,"6,980,000","4,206.57","1,659",Jul-23,CROWHURST DRIVE,Resale,Land,390.8,"17,861",-,Semi-Detached House,1,999 yrs lease commencing from 1954,19,Outside Central Region,-
HONG KONG PARK,"10,000,000","4,586.54","2,180",Jul-23,SIAN TUAN AVENUE,Resale,Land,426.1,"23,469",-,Semi-Detached House,1,999 yrs lease commencing from 1879,21,Rest of Central Region,-
HENRY PARK,"9,100,000","4,324.98","2,104",Jul-23,GROVE DRIVE,Resale,Land,401.8,"22,648",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
FRANKEL ESTATE,"7,450,000","3,286.25","2,267",Jul-23,ETTRICK TERRACE,Resale,Land,305.3,"24,402",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
SERANGOON GARDEN ESTATE,"4,100,000","1,840.64","2,227",Jul-23,CHISELHURST GROVE,Resale,Land,171,"23,977",-,Terrace House,1,999 yrs lease commencing from 1956,19,Outside Central Region,-
PEOPLE'S GARDEN,"3,220,000","1,891.23","1,703",Jul-23,LORONG 1 REALTY PARK,Resale,Land,175.7,"18,327",-,Terrace House,1,999 yrs lease commencing from 1876,19,Outside Central Region,-
ISLAND PARK,"5,550,000","4,279.77","1,297",Jul-23,JALAN TAMBUR,Resale,Land,397.6,"13,959",-,Semi-Detached House,1,Freehold,20,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,860,000","2,815.86","1,726",Jul-23,LORONG MARZUKI,Resale,Land,261.6,"18,578",-,Semi-Detached House,1,Freehold,14,Outside Central Region,-
KINGS VILLE,"3,920,000","2,427.28","1,615",Jul-23,KING'S DRIVE,Resale,Land,225.5,"17,384",-,Semi-Detached House,1,102 yrs lease commencing from 1996,10,Core Central Region,-
YONG SENG ESTATE,"3,300,000","1,882.62","1,753",Jul-23,JALAN SENANG,Resale,Land,174.9,"18,868",-,Terrace House,1,Freehold,14,Outside Central Region,-
SERANGOON GARDEN ESTATE,"5,750,000","2,695.31","2,133",Jul-23,KENSINGTON PARK ROAD,Resale,Land,250.4,"22,963",-,Semi-Detached House,1,999 yrs lease commencing from 1954,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"7,000,000","6,835.14","1,024",Jul-23,JALAN SINGA,Resale,Land,635,"11,024",-,Detached House,1,Freehold,14,Outside Central Region,-
CAPITOL PARK,"6,200,000","2,566.14","2,416",Jul-23,JALAN ILMU,Resale,Land,238.4,"26,007",-,Terrace House,1,Freehold,11,Core Central Region,-
TOH ESTATE,"5,975,000","6,581.11",908,Jul-23,TOH CRESCENT,Resale,Land,611.4,"9,773",-,Detached House,1,Freehold,17,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,650,000","1,730.85","2,109",Jul-23,JALAN ANGIN LAUT,Resale,Land,160.8,"22,699",-,Terrace House,1,Freehold,16,Outside Central Region,-
