Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
RIVELLE TAMPINES,"1,989,000","1,044.11","1,905",Apr-26,TAMPINES STREET 95,New Sale,Strata,97,"20,505",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"2,235,000","1,184.04","1,888",Apr-26,TAMPINES STREET 95,New Sale,Strata,110,"20,318",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"2,243,000","1,184.04","1,894",Apr-26,TAMPINES STREET 95,New Sale,Strata,110,"20,391",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"2,259,000","1,184.04","1,908",Apr-26,TAMPINES STREET 95,New Sale,Strata,110,"20,536",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"2,074,000","1,044.11","1,986",Apr-26,TAMPINES STREET 95,New Sale,Strata,97,"21,381",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"2,268,000","1,184.04","1,915",Apr-26,TAMPINES STREET 95,New Sale,Strata,110,"20,618",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,06 to 10
RIVELLE TAMPINES,"2,276,000","1,184.04","1,922",Apr-26,TAMPINES STREET 95,New Sale,Strata,110,"20,691",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,06 to 10
RIVELLE TAMPINES,"1,694,000",882.65,"1,919",Apr-26,TAMPINES STREET 95,New Sale,Strata,82,"20,659",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"1,706,000",882.65,"1,933",Apr-26,TAMPINES STREET 95,New Sale,Strata,82,"20,805",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"1,710,000",882.65,"1,937",Apr-26,TAMPINES STREET 95,New Sale,Strata,82,"20,854",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"2,100,000","1,044.11","2,011",Apr-26,TAMPINES STREET 95,New Sale,Strata,97,"21,649",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,06 to 10
RIVELLE TAMPINES,"1,719,000",882.65,"1,948",Apr-26,TAMPINES STREET 95,New Sale,Strata,82,"20,963",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,06 to 10
RIVELLE TAMPINES,"2,165,000","1,108.69","1,953",Apr-26,TAMPINES STREET 95,New Sale,Strata,103,"21,019",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"2,272,000","1,184.04","1,919",Apr-26,TAMPINES STREET 95,New Sale,Strata,110,"20,655",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"1,669,000",882.65,"1,891",Apr-26,TAMPINES STREET 95,New Sale,Strata,82,"20,354",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"2,014,000","1,044.11","1,929",Apr-26,TAMPINES STREET 95,New Sale,Strata,97,"20,763",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"1,805,000",925.7,"1,950",Apr-26,TAMPINES STREET 95,New Sale,Strata,86,"20,988",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,06 to 10
RIVELLE TAMPINES,"1,989,000","1,044.11","1,905",Apr-26,TAMPINES STREET 95,New Sale,Strata,97,"20,505",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"1,791,000",925.7,"1,935",Apr-26,TAMPINES STREET 95,New Sale,Strata,86,"20,826",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,06 to 10
RIVELLE TAMPINES,"2,045,000","1,044.11","1,959",Apr-26,TAMPINES STREET 95,New Sale,Strata,97,"21,082",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,06 to 10
RIVELLE TAMPINES,"2,134,000","1,108.69","1,925",Apr-26,TAMPINES STREET 95,New Sale,Strata,103,"20,718",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"2,249,000","1,184.04","1,899",Apr-26,TAMPINES STREET 95,New Sale,Strata,110,"20,445",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"1,989,000","1,044.11","1,905",Apr-26,TAMPINES STREET 95,New Sale,Strata,97,"20,505",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"2,257,000","1,184.04","1,906",Apr-26,TAMPINES STREET 95,New Sale,Strata,110,"20,518",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"1,996,000","1,044.11","1,912",Apr-26,TAMPINES STREET 95,New Sale,Strata,97,"20,577",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"2,265,000","1,184.04","1,913",Apr-26,TAMPINES STREET 95,New Sale,Strata,110,"20,591",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"2,282,000","1,184.04","1,927",Apr-26,TAMPINES STREET 95,New Sale,Strata,110,"20,745",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"2,315,000","1,184.04","1,955",Apr-26,TAMPINES STREET 95,New Sale,Strata,110,"21,045",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,06 to 10
RIVELLE TAMPINES,"2,040,000","1,108.69","1,840",Apr-26,TAMPINES STREET 95,New Sale,Strata,103,"19,806",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"1,989,000","1,044.11","1,905",Apr-26,TAMPINES STREET 95,New Sale,Strata,97,"20,505",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"2,666,000","1,377.79","1,935",Apr-26,TAMPINES STREET 95,New Sale,Strata,128,"20,828",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,06 to 10
RIVELLE TAMPINES,"2,027,000","1,044.11","1,941",Apr-26,TAMPINES STREET 95,New Sale,Strata,97,"20,897",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,06 to 10
RIVELLE TAMPINES,"2,033,000","1,044.11","1,947",Apr-26,TAMPINES STREET 95,New Sale,Strata,97,"20,959",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,06 to 10
RIVELLE TAMPINES,"2,249,000","1,184.04","1,899",Apr-26,TAMPINES STREET 95,New Sale,Strata,110,"20,445",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"2,559,000","1,377.79","1,857",Apr-26,TAMPINES STREET 95,New Sale,Strata,128,"19,992",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
RIVELLE TAMPINES,"2,257,000","1,184.04","1,906",Apr-26,TAMPINES STREET 95,New Sale,Strata,110,"20,518",-,Executive Condominium,1,99 yrs lease commencing from 2025,18,Outside Central Region,01 to 05
